Gorgeous (feat. Kid Cudi & Raekwon) | My Beautiful Dark Twisted Fantasy | Kanye West | Kanye West | 2010

So Appalled (feat. Jay-Z, Pusha T, Prynce Cy Hi, Swizz Beatz & The RZA) | My Beautiful Dark Twisted Fantasy | Kanye West | Kanye West | 2010

Devil In A New Dress (feat. Rick Ross) | My Beautiful Dark Twisted Fantasy | Kanye West | Kanye West | 2010

The Bends | The Bends [Remastered] | Radiohead | Radiohead | 2011

XXX | XXX | Danny Brown | Danny Brown | 2011

Blunt After Blunt | XXX | Danny Brown | Danny Brown | 2011

Fields | XXX | Danny Brown | Danny Brown | 2011

Novacane | Nostalgia, ULTRA | Frank Ocean | N/A | 2011

Thinkin Bout You | channel ORANGE | Frank Ocean | N/A | 2012

Sweet Life | channel ORANGE | Frank Ocean | N/A | 2012

Transformer | St. Elsewhere | Gnarls Barkley | N/A | 2006

Necromancer | St. Elsewhere | Gnarls Barkley | N/A | 2006

Who's Gonna Save My Soul | The Odd Couple | Gnarls Barkley | N/A | 2008

She Knows | The Odd Couple | Gnarls Barkley | N/A | 2008

21 @ 12 | Future Breeds | Hot Hot Heat | N/A | 2010

Nobody's Accusing You (Of Having A Good Time) | Future Breeds | Hot Hot Heat | N/A | 2010

Everyday I Love You Less And Less | Employment | Kaiser Chiefs | N/A | 2005

Don't Look Down (feat. Mos Def, Lupe Fiasco & Big Sean) | G.O.O.D Fridays | Kanye West | N/A | 2010

The Joy (feat. Pete Rock, Jay-Z, Charlie Wilson, Curtis Mayfield & Kid Cudi) | G.O.O.D Fridays | Kanye West | N/A | 2010

Stronger | Graduation | Kanye West | Kanye West | 2007

Can't Tell Me Nothing | Graduation | Kanye West | Kanye West | 2007

Flashing Lights | Graduation | Kanye West | Kanye West | 2007

Everything I Am | Graduation | Kanye West | Kanye West | 2007

Homecoming | Graduation | Kanye West | Kanye West | 2007

Gold Digger (feat. Jamie Foxx) | Late Registration | Kanye West | Kanye West | 2005

Drive Slow (Featuring Paul Wall & GLC) | Late Registration | Kanye West | Kanye West | 2005

Gone (Featuring Consequence & Cam'ron) | Late Registration | Kanye West | Kanye West | 2005

Get Em High | The College Dropout | Kanye West, Talib Kweli & Common | Kanye West | 2004

Slow Jamz (with Twista, Kanye West & Jamie Foxx) | The College Dropout | Kanye West | Kanye West | 2004

School Spirit | The College Dropout | Kanye West | Kanye West | 2004

Through The Wire | The College Dropout | Kanye West | Kanye West | 2004

Alien Girl {Today W/ Her} | O(verly) D(edicated) | Kendrick Lamar | N/A | 2010

Michael Jordan ft Schoolboy Q | O(verly) D(edicated) | Kendrick Lamar | N/A | 2010

Rigamortus | Section.80 | Kendrick Lamar | N/A | 2011

Blow My High | Section.80 | Kendrick Lamar | N/A | 2011

Can I Get A Witness? | N/A | Marvin Gaye | N/A | N/A

Straight Outta Compton | Straight Outta Compton | N.W.A. | N/A | 1988

Fuck Tha Police | Straight Outta Compton | N.W.A. | N/A | 1988

Express Yourself | Straight Outta Compton | N.W.A. | N/A | 1988

Dopeman (Remix) | Straight Outta Compton | N.W.A. | N/A | 1988

Unwritten | Unwritten (Bonus Track Version) | Natasha Bedingfield | Natasha Bedingfield | 2005

Forest Green (Mike G) | The Of Tape Vol. 2 | Odd Future | N/A | 2012

Analog 2 (Tyler The Creator, Frank Ocean, Syd) | The Of Tape Vol. 2 | Odd Future | N/A | 2012

London Calling | London Calling | The Clash | N/A | 1979

Death or Glory | London Calling | The Clash | N/A | 1979

I'm Not Down | London Calling | The Clash | N/A | 1979

Hold the Line | Toto | Toto | Toto | 1978

Undone (The Sweater Song) | Weezer | Weezer | Weezer | 1994

Clique | Cruel Summer (Deluxe Edition) | Kanye West, Jay-Z and Big Sean | Kanye West Presents G.O.O.D Music | 2012

Mercy | Cruel Summer (Deluxe Edition) | 2 Chainz feat. Big Sean and Kanye West and Pusha T | Kanye West Presents G.O.O.D Music | 2012

Yet Again | Shields | Grizzly Bear | Grizzly Bear | 2012

Poor In Love | Kaputt | Destroyer | Destroyer | 2011

World Domination (Prod. By MF DOOM) | 1999 | Joey Bada$$ | Joey Bada$$ | 2012

Don't Front Feat CJ Fly (Prod By Statik Selektah) | 1999 | Joey Bada$$ | Joey Bada$$ | 2012

Where It At Feat Kirk Knight (Prod By J Dilla) | 1999 | Joey Bada$$ | Joey Bada$$ | 2012

Gasoline Dreams | Stankonia | OutKast | OutKast | 2000

Ms. Jackson | Stankonia | OutKast | OutKast | 2000

I'll Call Before I Come | Stankonia | OutKast | OutKast | 2000

Humble Mumble | Stankonia | OutKast | OutKast | 2000

See Thru to U (feat. Erykah Badu) | Until the Quiet Comes | Flying Lotus | Flying Lotus | 2012

Kid A | Kid A | Radiohead | Radiohead | 2000

Optimistic | Kid A | Radiohead | Radiohead | 2000

Bitch, Dant Kill My Vibe | Good Kid M.A.A.D City | Kendrick Lamar | Kendrick Lamar | 2012

Money Trees (Feat. Jay Rock) | Good Kid M.A.A.D City | Kendrick Lamar | Kendrick Lamar | 2012

M.A.A.D City (Feat. MC Eiht) | Good Kid M.A.A.D City | Kendrick Lamar | Kendrick Lamar | 2012

Swimming Pools (Drank) (Extended Version) | Good Kid M.A.A.D City | Kendrick Lamar | Kendrick Lamar | 2012

The Recipe (Feat. Dr Dre) (Bonus Track) | Good Kid M.A.A.D City (Bonus Songs) | Kendrick Lamar | Kendrick Lamar | 2012

Sprawl II (Mountains Beyond Mountains) | The Suburbs | Arcade Fire | Arcade Fire | 2010

Between Friends (feat. Earl Sweatshirt & Captain Murphy) | Between Friends | Flying Lotus | Flying Lotus | 2012

Faithful (Feat. Bilal & John Legend) | Be | Common | N/A | 2005

The Food (Live) (Feat. Kanye West) | Be | Common | N/A | 2005

No Church in the Wild | Watch The Throne [Deluxe Version] | Kanye West/Jay-Z/Frank Ocean | The Throne | 2011

Gotta Have It | Watch The Throne [Deluxe Version] | Kanye West/Jay-Z | The Throne | 2011

Why I Love You | Watch The Throne [Deluxe Version] | Kanye West/Jay-Z/Mr. Hudson | The Throne | 2011

Baba O'Riley | Who's Next | The Who | The Who | 1995

Pinball Wizard | Tommy | The Who | N/A | 1969

Rosanna | Toto IV | Toto | N/A | N/A

Africa | Toto IV | Toto | N/A | N/A

Duel of the Iron Mic | Liquid Swords | GZA | GZA | 1995

Living in the World Today | Liquid Swords | GZA | GZA | 1995

New Kid In Town | Hotel California (Remaster) | The Eagles | N/A | 1976

Wasted Time | Hotel California (Remaster) | The Eagles | N/A | 1976

Karma Police | OK Computer | Radiohead | N/A | 1997

Worship You | Modern Vampires Of The City | Vampire Weekend | Vampire Weekend | 2013

Send It Up | Yeezus | Kanye West | N/A | 2013

Bound 2 | Yeezus | Kanye West | N/A | 2013

Pioneer Spine | Major Arcana | Speedy Ortiz | N/A | 2013

Tiger Tank | Major Arcana | Speedy Ortiz | N/A | 2013

No Below | Major Arcana | Speedy Ortiz | N/A | 2013

Fun | Major Arcana | Speedy Ortiz | N/A | 2013

Pre (ft SK La' Flare) | Doris | Earl Sweatshirt | Earl Sweatshirt | 2013

Knight (ft Domo Genesis) | Doris | Earl Sweatshirt | Earl Sweatshirt | 2013

Shabba Ft. A$AP Rocky | Trap Lord | A$AP Ferg | N/A | 2013

Work Remix Ft. A$AP Rocky, French Montana, SchoolBoy Q & Trinidad James | Trap Lord | A$AP Ferg | N/A | 2013

1 Train feat. Kendrick Lamar, Joey Bada$$, Yelawolf, Danny Brown, Action Bronson & Big K.R.I.T. (explicit mastered) | Long Live A$AP | A$AP Rocky | A$AP Rocky | 2012

Ghetto Symphony feat. Gunplay & A$AP Ferg | Long Live A$AP | A$AP Rocky | A$AP Rocky | 2012

Come Thru | Nothing Was the Same | Drake | N/A | 2013

